,experiment,hour,device_make,platform_os,browser,yes
5504,control,3,LG,154,6,0.0
5505,exposed,3,LG,162,6,0.0
5506,control,15,Apple,178,7,0.0
5507,control,19,Apple,101,15,0.0
5508,exposed,23,Apple,178,6,0.0
5509,exposed,8,Samsung,101,6,1.0
5510,control,3,Samsung,162,6,1.0
5511,exposed,0,Apple,178,15,1.0
5512,exposed,23,Samsung,101,6,1.0
5513,control,14,Apple,146,7,0.0
5514,exposed,23,Apple,101,15,0.0
5515,exposed,16,Google,101,6,0.0
5516,exposed,18,Samsung,101,15,1.0
5517,exposed,0,Other,162,15,1.0
5518,exposed,21,Samsung,101,6,1.0
5519,exposed,4,Samsung,101,6,1.0
5520,exposed,23,Apple,101,7,0.0
5521,exposed,21,Samsung,101,15,1.0
5522,exposed,3,Motorola,162,6,1.0
5523,exposed,22,Samsung,101,6,1.0
5524,exposed,3,Google,101,6,1.0
5525,exposed,7,Apple,101,15,0.0
5526,exposed,19,Samsung,101,6,1.0
5527,exposed,15,Samsung,101,6,1.0
5528,control,16,Apple,153,7,0.0
5529,control,1,Apple,101,7,0.0
5530,control,17,Apple,101,7,0.0
5531,exposed,10,Apple,101,6,0.0
5532,control,16,Apple,101,7,0.0
5533,exposed,0,Google,162,6,0.0
5534,exposed,5,Google,101,6,1.0
5535,exposed,13,Samsung,101,6,1.0
5536,control,19,Apple,174,7,0.0
5537,exposed,15,Samsung,101,6,1.0
5538,exposed,23,Samsung,162,6,0.0
5539,exposed,2,Samsung,101,6,1.0
5540,exposed,10,Samsung,101,6,0.0
5541,exposed,4,Google,101,6,1.0
5542,control,15,Apple,101,6,0.0
5543,exposed,10,Samsung,155,6,0.0
5544,exposed,3,Apple,178,15,1.0
5545,control,21,Apple,178,6,0.0
5546,exposed,14,Samsung,101,6,1.0
5547,exposed,3,Google,101,6,1.0
5548,control,17,Apple,101,7,1.0
5549,exposed,1,Samsung,101,6,1.0
5550,exposed,1,Samsung,101,6,0.0
5551,control,20,Apple,174,6,0.0
5552,exposed,2,Samsung,101,6,1.0
5553,exposed,23,Apple,101,7,0.0
5554,exposed,3,Samsung,101,6,1.0
5555,exposed,0,Samsung,101,6,1.0
5556,exposed,14,Apple,101,15,0.0
5557,exposed,23,Apple,101,7,0.0
5558,control,12,Apple,101,6,0.0
5559,exposed,0,Samsung,162,15,1.0
5560,exposed,23,Samsung,101,6,1.0
5561,exposed,23,Apple,171,15,0.0
5562,exposed,23,Apple,101,7,0.0
5563,exposed,20,Google,101,6,1.0
5564,control,16,Apple,178,6,0.0
5565,exposed,8,Samsung,101,6,0.0
5566,exposed,17,Apple,178,7,1.0
5567,control,10,Apple,101,7,0.0
5568,control,16,Apple,178,7,0.0
5569,exposed,14,Apple,101,15,1.0
5570,exposed,7,Google,101,6,1.0
5571,exposed,21,Samsung,101,6,1.0
5572,exposed,4,Google,101,6,0.0
5573,exposed,22,Samsung,101,6,0.0
5574,exposed,22,Samsung,101,6,1.0
5575,exposed,3,Samsung,101,6,0.0
5576,exposed,6,Samsung,179,6,1.0
5577,exposed,8,LG,156,6,1.0
5578,exposed,16,Apple,180,7,0.0
5579,control,4,Apple,171,7,1.0
5580,exposed,22,Samsung,101,6,1.0
5581,exposed,0,Samsung,179,15,1.0
5582,exposed,23,Apple,101,7,0.0
5583,control,14,Apple,101,15,0.0
5584,control,18,Apple,101,7,0.0
5585,exposed,2,Samsung,101,6,1.0
5586,exposed,10,Google,101,6,1.0
5587,control,20,Apple,101,7,0.0
5588,control,19,Apple,101,7,0.0
5589,control,20,Apple,101,7,0.0
5590,exposed,14,Samsung,101,6,1.0
5591,exposed,6,Google,101,6,0.0
5592,exposed,19,Google,101,6,0.0
5593,exposed,3,Samsung,155,6,1.0
5594,exposed,15,Apple,101,7,0.0
5595,control,17,Apple,174,7,0.0
5596,exposed,5,Google,101,6,1.0
5597,exposed,17,Apple,101,6,1.0
5598,exposed,16,Google,101,6,1.0
5599,exposed,8,Samsung,101,15,1.0
5600,exposed,14,Apple,101,15,0.0
5601,control,7,Apple,101,7,0.0
5602,exposed,17,Samsung,101,6,0.0
5603,control,18,Apple,101,15,0.0
5604,control,10,RCA,136,6,0.0
5605,exposed,7,Google,101,6,1.0
5606,exposed,14,Google,101,6,0.0
5607,exposed,3,Samsung,101,6,1.0
5608,exposed,16,Samsung,162,6,0.0
5609,control,17,Apple,101,6,0.0
5610,exposed,6,Samsung,101,6,1.0
5611,exposed,0,Samsung,101,6,1.0
5612,exposed,4,Google,101,6,1.0
5613,exposed,18,Apple,144,7,0.0
5614,exposed,2,Samsung,155,15,1.0
5615,control,5,Apple,101,7,0.0
5616,control,3,Samsung,162,6,0.0
5617,control,4,Apple,101,7,1.0
5618,exposed,20,Samsung,101,6,1.0
5619,exposed,1,Samsung,162,6,0.0
5620,control,4,Samsung,162,6,1.0
5621,exposed,23,Apple,101,7,0.0
5622,exposed,23,Apple,101,7,0.0
5623,control,1,Apple,178,7,0.0
5624,exposed,4,Samsung,101,6,1.0
5625,exposed,0,Samsung,101,15,1.0
5626,exposed,2,Google,101,6,1.0
5627,exposed,18,Samsung,101,6,1.0
5628,control,6,Apple,165,15,0.0
5629,exposed,1,Samsung,101,6,1.0
5630,control,2,Apple,101,7,0.0
5631,control,4,Apple,101,7,1.0
5632,control,11,Apple,101,7,1.0
5633,control,2,Apple,101,5,0.0
5634,exposed,10,Samsung,101,15,1.0
5635,control,2,Apple,178,7,0.0
5636,exposed,0,LG,155,15,0.0
5637,control,4,Samsung,145,6,1.0
5638,control,19,Apple,101,15,1.0
5639,exposed,9,Samsung,101,6,1.0
5640,exposed,16,Apple,101,7,1.0
5641,exposed,22,Samsung,101,15,0.0
5642,exposed,4,Samsung,101,6,1.0
5643,exposed,4,Samsung,101,6,1.0
5644,exposed,11,Google,101,15,1.0
5645,exposed,8,Samsung,101,6,1.0
5646,control,3,Apple,101,6,1.0
5647,control,5,Apple,101,15,0.0
5648,exposed,21,Samsung,101,6,1.0
5649,control,5,Apple,175,6,1.0
5650,control,1,LG,162,6,0.0
5651,exposed,19,Samsung,101,6,1.0
5652,exposed,7,Google,101,6,1.0
5653,exposed,7,Apple,101,15,0.0
5654,exposed,1,LG,156,15,0.0
5655,exposed,23,Apple,167,15,0.0
5656,control,18,Apple,101,15,0.0
5657,exposed,4,Google,101,6,1.0
5658,exposed,23,Apple,101,7,0.0
5659,exposed,4,Google,101,6,1.0
5660,control,18,Apple,101,15,0.0
5661,exposed,21,Apple,101,7,1.0
5662,control,21,Apple,178,7,0.0
5663,exposed,19,Motorola,155,6,1.0
5664,exposed,0,Apple,101,15,0.0
5665,exposed,9,Apple,174,6,1.0
5666,control,15,Samsung,156,6,0.0
5667,exposed,20,Apple,174,7,1.0
5668,exposed,7,Google,101,6,1.0
5669,exposed,2,Google,101,6,0.0
5670,control,20,Apple,101,7,0.0
5671,exposed,15,Google,101,6,0.0
5672,exposed,19,Apple,101,7,1.0
5673,control,0,Apple,101,7,0.0
5674,exposed,20,LG,155,6,1.0
5675,control,14,Apple,178,15,0.0
5676,control,7,Apple,101,7,0.0
5677,exposed,8,Apple,101,15,0.0
5678,exposed,5,KVD,145,6,0.0
5679,exposed,3,Google,101,6,0.0
5680,exposed,14,Samsung,101,6,1.0
5681,exposed,23,Apple,101,15,0.0
5682,control,3,Apple,101,15,0.0
5683,control,10,Apple,101,15,0.0
5684,exposed,2,Samsung,179,6,1.0
5685,control,18,Samsung,162,6,0.0
5686,control,17,Samsung,162,6,1.0
5687,exposed,3,Samsung,101,6,1.0
5688,exposed,20,Samsung,101,6,1.0
5689,control,15,Apple,148,7,0.0
5690,control,15,Apple,101,7,1.0
5691,control,3,Apple,101,15,0.0
5692,control,12,Apple,178,7,1.0
5693,exposed,0,Apple,171,7,0.0
5694,exposed,23,Apple,101,7,0.0
5695,exposed,5,Google,101,6,1.0
5696,control,20,Apple,101,7,0.0
5697,exposed,23,Apple,101,7,0.0
5698,control,8,Apple,101,7,0.0
5699,control,4,Apple,101,7,1.0
5700,exposed,18,Apple,178,7,0.0
5701,exposed,21,Apple,101,7,0.0
5702,control,19,Apple,178,7,0.0
5703,exposed,1,Google,101,6,1.0
5704,control,15,Apple,178,7,0.0
5705,control,2,Apple,178,7,0.0
5706,control,16,LG,155,6,0.0
5707,exposed,10,Samsung,101,6,1.0
5708,exposed,21,Apple,101,7,0.0
5709,control,2,Apple,101,15,0.0
5710,exposed,22,Samsung,101,6,1.0
5711,exposed,15,Google,101,6,1.0
5712,control,23,Amazon,155,6,0.0
5713,control,23,Apple,101,15,0.0
5714,control,3,Samsung,101,6,1.0
5715,exposed,1,Samsung,101,6,0.0
5716,exposed,1,Motorola,156,15,1.0
5717,exposed,2,Samsung,101,6,1.0
5718,exposed,16,Apple,101,15,0.0
5719,exposed,2,Samsung,101,6,1.0
5720,exposed,3,Samsung,101,6,1.0
5721,exposed,23,Samsung,101,6,1.0
5722,exposed,20,Google,101,6,1.0
5723,exposed,23,Apple,101,7,0.0
5724,exposed,0,Apple,101,5,1.0
5725,exposed,16,OnePlus,101,6,1.0
5726,exposed,23,Apple,101,15,0.0
5727,exposed,5,Google,101,6,1.0
5728,control,0,Apple,101,15,0.0
5729,exposed,23,Apple,101,7,0.0
5730,exposed,17,Samsung,101,6,1.0
5731,exposed,2,Samsung,101,6,1.0
5732,control,5,Apple,178,6,0.0
5733,exposed,17,Google,101,6,1.0
5734,exposed,16,Apple,101,15,0.0
5735,control,3,Apple,101,7,0.0
5736,exposed,1,Samsung,101,6,1.0
5737,control,11,Motorola,156,6,0.0
5738,control,12,Apple,101,7,0.0
5739,exposed,9,Samsung,162,6,1.0
5740,exposed,8,Motorola,162,15,0.0
5741,exposed,4,Google,101,6,1.0
5742,control,7,Apple,101,6,1.0
5743,exposed,18,Apple,101,15,0.0
5744,control,3,Apple,178,7,0.0
5745,control,6,Apple,175,7,1.0
5746,control,23,Apple,101,15,0.0
5747,control,18,Amazon,155,6,0.0
5748,control,1,Apple,101,7,0.0
5749,exposed,22,Samsung,155,15,1.0
5750,exposed,22,Apple,101,7,0.0
5751,exposed,5,Google,101,6,1.0
5752,exposed,15,Google,101,6,1.0
5753,control,20,Apple,101,6,0.0
5754,exposed,10,Samsung,101,6,0.0
5755,control,7,Apple,101,7,0.0
5756,exposed,0,Google,156,6,0.0
5757,exposed,16,Samsung,101,6,1.0
5758,control,23,Apple,101,7,0.0
5759,exposed,23,Apple,178,7,0.0
5760,exposed,6,Samsung,101,15,1.0
5761,exposed,5,Samsung,156,15,1.0
5762,control,4,Amazon,155,6,0.0
5763,exposed,18,Samsung,101,6,1.0
5764,control,9,Apple,174,7,1.0
5765,exposed,13,Samsung,162,6,1.0
5766,control,0,Apple,101,15,0.0
5767,exposed,0,LG,155,15,1.0
5768,control,2,Apple,101,7,0.0
5769,control,8,Apple,101,7,0.0
5770,exposed,12,Google,101,6,1.0
5771,control,0,Apple,101,7,0.0
5772,control,2,Apple,101,15,1.0
5773,exposed,11,LG,162,6,1.0
5774,control,17,Apple,101,7,0.0
5775,exposed,2,Samsung,155,15,0.0
5776,exposed,2,Google,101,6,1.0
5777,exposed,16,Google,101,6,1.0
5778,exposed,2,Google,101,6,1.0
5779,exposed,23,Apple,101,7,0.0
5780,control,19,Apple,101,6,0.0
5781,control,1,Apple,178,6,0.0
5782,control,6,Apple,101,6,0.0
5783,exposed,11,Google,101,6,1.0
5784,exposed,18,Apple,101,15,0.0
5785,exposed,23,Apple,101,15,0.0
5786,exposed,23,Samsung,162,12,0.0
5787,exposed,2,Samsung,101,15,1.0
5788,exposed,0,Samsung,156,6,1.0
5789,control,4,Apple,178,15,0.0
5790,exposed,3,Google,101,6,1.0
5791,exposed,9,Samsung,156,15,0.0
5792,exposed,17,Google,101,6,1.0
5793,exposed,2,Samsung,179,6,1.0
5794,control,3,Apple,101,7,0.0
5795,exposed,4,LG,162,6,1.0
5796,control,9,Samsung,162,6,1.0
5797,control,2,Apple,101,15,0.0
5798,exposed,14,Samsung,101,6,1.0
5799,control,17,Apple,101,7,0.0
5800,control,13,Apple,101,15,0.0
5801,exposed,19,Samsung,101,6,1.0
5802,exposed,0,Apple,101,15,0.0
5803,control,4,Apple,101,15,1.0
5804,exposed,19,Samsung,101,6,1.0
5805,control,22,Apple,178,15,0.0
5806,exposed,1,Google,101,6,1.0
5807,exposed,6,Samsung,101,6,0.0
5808,control,16,Apple,101,6,0.0
5809,exposed,14,Samsung,156,6,1.0
5810,exposed,21,Amazon,155,6,0.0
5811,exposed,5,Google,101,6,1.0
5812,exposed,0,Google,179,15,0.0
5813,exposed,2,Google,101,6,1.0
5814,exposed,21,Samsung,101,6,0.0
5815,exposed,0,Samsung,101,6,0.0
5816,exposed,15,Samsung,101,6,1.0
5817,control,3,Apple,101,6,0.0
5818,exposed,3,Samsung,101,15,1.0
5819,exposed,15,Google,101,6,1.0
5820,exposed,17,Google,101,6,1.0
5821,exposed,21,Apple,101,15,1.0
5822,exposed,17,Samsung,101,6,0.0
5823,exposed,19,Google,101,6,1.0
5824,exposed,1,Samsung,101,6,0.0
5825,control,4,Apple,175,7,0.0
5826,control,19,Apple,101,6,0.0
5827,control,14,Samsung,162,6,1.0
5828,control,22,Apple,175,7,0.0
5829,exposed,13,Google,101,6,1.0
5830,exposed,16,Google,101,6,1.0
5831,exposed,20,Samsung,101,6,1.0
5832,exposed,10,Apple,101,6,0.0
5833,control,16,Amazon,155,6,0.0
5834,exposed,3,Samsung,101,6,0.0
5835,control,6,Apple,178,15,0.0
5836,exposed,19,Samsung,101,15,1.0
5837,control,16,Apple,178,7,0.0
5838,exposed,0,Motorola,162,6,0.0
5839,exposed,1,Samsung,101,6,1.0
5840,control,4,Apple,151,7,0.0
5841,exposed,4,Samsung,101,15,1.0
5842,exposed,2,Samsung,101,6,1.0
5843,exposed,20,Apple,178,7,0.0
5844,control,8,Apple,178,15,0.0
5845,exposed,16,Google,101,6,1.0
5846,exposed,16,Samsung,101,6,1.0
5847,control,13,Apple,101,15,0.0
5848,exposed,0,Apple,101,7,0.0
5849,control,6,Apple,101,6,0.0
5850,exposed,23,LG,156,6,1.0
5851,exposed,15,Samsung,101,6,1.0
5852,exposed,10,Google,101,6,1.0
5853,control,17,Samsung,101,6,0.0
5854,control,18,Apple,101,6,0.0
5855,exposed,1,Google,179,6,1.0
5856,exposed,5,Google,101,6,1.0
5857,exposed,4,Samsung,101,6,1.0
5858,exposed,1,Google,101,6,1.0
5859,exposed,0,Apple,177,7,0.0
5860,control,2,Apple,101,7,1.0
5861,exposed,17,Apple,101,7,0.0
5862,exposed,19,Apple,178,15,0.0
5863,exposed,2,Samsung,179,15,0.0
5864,exposed,19,Google,101,6,1.0
5865,exposed,10,Samsung,101,6,1.0
5866,control,0,Apple,101,7,0.0
5867,exposed,9,Samsung,101,15,0.0
5868,exposed,2,Google,101,6,1.0
5869,control,14,Apple,101,7,0.0
5870,control,10,Apple,101,7,0.0
5871,control,13,Samsung,101,6,0.0
5872,exposed,3,Apple,175,7,1.0
5873,exposed,11,Samsung,101,15,1.0
5874,exposed,14,Samsung,101,6,1.0
5875,exposed,0,Google,101,6,1.0
5876,exposed,3,Samsung,101,6,1.0
5877,control,0,Apple,174,15,0.0
5878,exposed,1,Samsung,179,6,1.0
5879,exposed,2,Samsung,101,6,1.0
5880,control,6,Apple,101,7,1.0
5881,control,6,Apple,178,15,0.0
5882,exposed,2,Apple,101,7,0.0
5883,exposed,0,Google,101,15,1.0
5884,exposed,20,Apple,101,7,0.0
5885,exposed,21,Google,101,6,0.0
5886,control,8,Apple,101,6,0.0
5887,control,22,Apple,101,7,0.0
5888,exposed,20,Samsung,101,6,1.0
5889,control,20,Apple,101,6,0.0
5890,control,2,Apple,101,7,0.0
5891,exposed,1,Samsung,162,6,1.0
5892,exposed,2,Apple,175,15,0.0
5893,exposed,15,Google,101,6,1.0
5894,control,2,Apple,101,7,0.0
5895,exposed,3,Samsung,101,6,1.0
5896,control,13,Apple,101,15,0.0
5897,exposed,1,Apple,101,15,1.0
5898,control,3,Samsung,162,6,0.0
5899,control,18,Apple,101,7,1.0
5900,control,7,Apple,175,7,0.0
5901,exposed,8,Apple,170,7,1.0
5902,exposed,15,Samsung,155,15,1.0
5903,exposed,0,Samsung,101,6,1.0
5904,exposed,18,Samsung,101,6,1.0
5905,exposed,22,Apple,101,7,1.0
5906,exposed,2,Samsung,101,15,1.0
5907,exposed,10,Apple,101,15,0.0
5908,exposed,16,Samsung,101,15,1.0
5909,control,22,Apple,101,6,0.0
5910,exposed,21,Google,101,6,1.0
5911,exposed,23,Apple,101,7,0.0
5912,control,1,Apple,101,15,0.0
5913,exposed,21,Motorola,162,6,1.0
5914,exposed,21,Apple,101,15,0.0
5915,control,1,Motorola,162,6,0.0
5916,exposed,23,Apple,101,6,0.0
5917,control,11,Apple,101,7,0.0
5918,exposed,16,Samsung,101,6,1.0
5919,control,20,Apple,101,6,0.0
5920,exposed,12,Apple,101,7,0.0
5921,exposed,11,Samsung,101,15,0.0
5922,exposed,21,Motorola,155,6,1.0
5923,exposed,5,Apple,174,7,0.0
5924,control,5,Apple,101,6,0.0
5925,exposed,17,Samsung,101,6,1.0
5926,exposed,3,Google,101,15,0.0
5927,control,1,Apple,178,7,1.0
5928,exposed,11,Samsung,101,6,0.0
5929,exposed,18,Samsung,101,15,1.0
5930,exposed,0,Samsung,162,15,0.0
5931,exposed,12,Samsung,162,6,0.0
5932,control,3,Apple,101,7,1.0
5933,control,15,Apple,101,7,0.0
5934,exposed,17,Samsung,101,6,1.0
5935,control,3,Apple,157,6,0.0
5936,exposed,3,Google,101,6,1.0
5937,exposed,7,Google,101,6,0.0
5938,exposed,2,Samsung,101,6,1.0
5939,exposed,17,Samsung,101,15,0.0
5940,exposed,3,Samsung,101,6,1.0
5941,control,0,Apple,178,15,0.0
5942,exposed,2,Samsung,101,6,0.0
5943,exposed,3,Apple,101,7,0.0
5944,exposed,18,Samsung,101,6,0.0
5945,exposed,8,Samsung,156,15,0.0
5946,exposed,1,Google,101,6,1.0
5947,control,3,Apple,101,7,0.0
5948,control,10,Apple,178,7,0.0
5949,exposed,1,Google,101,6,1.0
5950,exposed,16,Google,101,6,1.0
5951,control,1,Apple,101,6,0.0
5952,exposed,16,Samsung,101,15,0.0
5953,control,1,Apple,178,7,0.0
5954,exposed,1,Samsung,101,6,1.0
5955,exposed,2,Samsung,101,6,0.0
5956,exposed,11,Samsung,101,15,1.0
5957,exposed,4,Samsung,101,6,0.0
5958,exposed,1,Samsung,101,6,1.0
5959,control,1,Apple,178,7,0.0
5960,control,20,Amazon,155,6,0.0
5961,control,15,Apple,178,15,0.0
5962,exposed,13,Samsung,101,6,0.0
5963,exposed,20,Samsung,101,6,1.0
5964,control,4,Apple,178,6,0.0
5965,exposed,23,Apple,101,7,0.0
5966,exposed,15,Google,101,6,0.0
5967,control,7,Samsung,162,6,0.0
5968,exposed,1,Motorola,162,6,1.0
5969,exposed,3,Samsung,101,15,0.0
5970,control,4,Apple,101,15,1.0
5971,control,0,Apple,101,7,1.0
5972,exposed,5,Samsung,101,6,1.0
5973,control,5,Apple,101,7,1.0
5974,exposed,18,HTC,162,6,1.0
5975,exposed,23,Apple,101,15,0.0
5976,control,20,Apple,101,7,0.0
5977,control,20,LG,139,6,1.0
5978,exposed,5,Amazon,155,6,0.0
5979,exposed,3,Samsung,101,6,0.0
5980,exposed,18,Samsung,155,15,0.0
5981,control,21,Apple,101,7,1.0
5982,exposed,2,Google,101,6,1.0
5983,exposed,17,Samsung,101,6,1.0
5984,exposed,7,Samsung,101,6,1.0
5985,exposed,4,Samsung,162,15,1.0
5986,exposed,4,Sony,101,6,1.0
5987,exposed,5,Apple,101,7,0.0
5988,exposed,15,Samsung,162,6,0.0
5989,control,17,Apple,166,7,0.0
5990,exposed,20,Apple,178,7,0.0
5991,exposed,9,Samsung,155,15,1.0
5992,control,18,Apple,101,15,0.0
5993,exposed,22,Samsung,101,6,1.0
5994,exposed,18,Google,101,6,1.0
5995,exposed,17,Samsung,101,6,1.0
5996,exposed,3,Google,101,6,1.0
5997,exposed,0,Google,101,6,1.0
5998,exposed,7,Google,101,15,1.0
5999,control,6,Apple,101,7,1.0
6000,control,18,Samsung,101,6,1.0
6001,control,6,Apple,171,5,0.0
6002,control,4,Apple,101,6,0.0
6003,exposed,12,Apple,101,7,1.0
6004,exposed,15,Samsung,101,6,1.0
6005,control,2,Apple,173,15,0.0
6006,exposed,8,Samsung,101,6,1.0
6007,exposed,0,Motorola,156,6,1.0
6008,control,3,Apple,101,7,0.0
6009,control,9,Apple,174,7,0.0
6010,exposed,18,Samsung,155,6,0.0
6011,exposed,21,LG,162,6,1.0
6012,exposed,20,Apple,101,7,0.0
6013,control,9,Apple,174,7,0.0
6014,control,2,Samsung,101,6,0.0
6015,exposed,2,Samsung,101,6,1.0
6016,exposed,4,Google,101,6,1.0
6017,exposed,4,Apple,101,15,0.0
6018,exposed,2,Samsung,156,6,1.0
6019,control,3,Samsung,162,6,0.0
6020,exposed,19,Samsung,162,6,0.0
6021,exposed,8,Google,101,6,1.0
6022,exposed,6,Samsung,101,6,1.0
6023,exposed,17,Apple,175,15,0.0
6024,exposed,14,Samsung,101,15,0.0
6025,exposed,18,Apple,178,15,1.0
6026,exposed,23,Samsung,101,6,0.0
6027,exposed,2,Google,101,6,1.0
6028,control,14,wiko,156,6,0.0
6029,exposed,1,Google,101,6,0.0
6030,exposed,23,Google,101,6,1.0
6031,exposed,1,Samsung,101,15,1.0
6032,exposed,10,Samsung,101,6,1.0
6033,exposed,22,Google,101,6,1.0
6034,exposed,23,Apple,101,6,0.0
6035,control,6,Apple,101,6,0.0
6036,exposed,11,Apple,101,7,1.0
6037,exposed,18,Google,101,6,1.0
6038,exposed,23,Apple,101,15,0.0
6039,exposed,7,Samsung,156,15,1.0
6040,control,22,Apple,101,6,0.0
6041,exposed,1,Samsung,101,6,1.0
6042,exposed,2,Apple,178,15,1.0
6043,exposed,21,LG,156,15,1.0
6044,exposed,19,Samsung,101,6,1.0
6045,exposed,19,Samsung,101,6,1.0
6046,exposed,5,Apple,165,7,1.0
6047,exposed,5,Google,101,6,0.0
6048,control,20,Apple,101,6,0.0
6049,control,20,Apple,101,6,0.0
6050,control,9,Apple,173,7,0.0
6051,control,3,Apple,101,15,0.0
6052,control,12,Apple,101,15,0.0
6053,exposed,22,Google,101,6,1.0
6054,control,18,Apple,178,6,0.0
6055,exposed,5,LG,155,15,1.0
6056,exposed,1,Samsung,101,6,1.0
6057,exposed,22,Apple,101,7,0.0
6058,control,13,Apple,101,7,0.0
6059,control,14,Apple,101,7,0.0
6060,exposed,2,Google,101,6,1.0
6061,control,5,OnePlus,162,6,0.0
6062,exposed,0,Samsung,155,15,1.0
6063,control,1,Samsung,162,6,0.0
6064,exposed,2,Google,101,6,1.0
6065,control,20,Apple,178,6,1.0
6066,control,3,Apple,101,6,0.0
6067,exposed,1,Samsung,101,6,1.0
6068,exposed,18,Samsung,156,6,0.0
6069,exposed,16,Apple,178,6,1.0
6070,exposed,19,Samsung,101,6,1.0
6071,exposed,6,Samsung,162,6,0.0
6072,exposed,4,Google,101,6,0.0
6073,control,4,Apple,101,7,0.0
6074,control,3,Apple,101,15,1.0
6075,exposed,3,Google,101,6,1.0
6076,exposed,12,Samsung,101,6,1.0
6077,exposed,19,Samsung,101,6,1.0
6078,exposed,0,Motorola,155,6,1.0
6079,exposed,5,Samsung,101,6,1.0
6080,exposed,17,Google,101,6,1.0
6081,exposed,4,Samsung,101,15,1.0
6082,exposed,20,Samsung,101,15,1.0
6083,exposed,0,Samsung,179,6,1.0
6084,control,23,Samsung,155,6,0.0
6085,exposed,1,Samsung,101,15,0.0
6086,control,16,Apple,164,7,0.0
6087,exposed,4,Samsung,162,6,1.0
6088,exposed,15,Samsung,101,6,1.0
6089,exposed,9,Samsung,101,6,1.0
6090,exposed,0,Apple,174,7,0.0
6091,control,17,Apple,172,15,0.0
6092,exposed,4,Google,101,6,0.0
6093,exposed,16,Google,101,6,1.0
6094,control,2,Apple,101,15,0.0
6095,exposed,1,Apple,101,15,0.0
6096,exposed,0,Samsung,101,6,0.0
6097,exposed,2,Samsung,101,6,1.0
6098,control,3,Apple,178,7,0.0
6099,exposed,19,Samsung,101,6,1.0
6100,exposed,11,Samsung,101,15,1.0
6101,exposed,15,Google,101,6,1.0
6102,control,2,Apple,178,7,1.0
6103,exposed,2,Google,101,6,1.0
6104,control,2,Apple,101,7,0.0
6105,exposed,11,Apple,178,15,0.0
6106,exposed,11,Samsung,162,6,0.0
6107,exposed,21,Google,101,6,1.0
6108,control,17,Apple,101,7,0.0
6109,exposed,0,Samsung,145,15,1.0
6110,exposed,6,Samsung,162,6,1.0
6111,exposed,0,Motorola,156,15,1.0
6112,control,16,Motorola,162,6,1.0
6113,exposed,4,Samsung,101,6,1.0
6114,exposed,14,Google,101,6,1.0
6115,exposed,16,Samsung,101,6,1.0
6116,exposed,4,Google,101,6,0.0
6117,exposed,15,Samsung,101,6,1.0
6118,control,20,Apple,174,6,0.0
6119,control,11,Apple,101,15,0.0
6120,exposed,0,Samsung,101,6,1.0
6121,exposed,7,Samsung,101,6,1.0
6122,exposed,0,Samsung,162,6,1.0
6123,control,12,Samsung,162,6,1.0
6124,exposed,18,Samsung,101,15,1.0
6125,control,3,Apple,101,7,1.0
6126,exposed,3,Samsung,101,6,1.0
6127,control,19,Apple,101,6,0.0
6128,exposed,12,Samsung,101,6,0.0
6129,control,4,Apple,178,7,0.0
6130,control,19,Apple,101,6,0.0
6131,control,16,Samsung,154,6,0.0
6132,exposed,11,Apple,101,7,0.0
6133,exposed,0,Samsung,156,15,1.0
6134,control,2,Apple,101,15,0.0
6135,control,11,Samsung,139,6,0.0
6136,control,1,Apple,101,7,0.0
6137,exposed,0,Google,101,6,1.0
6138,exposed,9,Samsung,155,6,1.0
6139,exposed,18,Google,101,6,1.0
6140,exposed,3,Samsung,101,6,1.0
6141,control,3,Apple,101,7,0.0
6142,control,1,Apple,101,6,0.0
6143,control,4,Apple,101,15,0.0
6144,exposed,0,Motorola,156,15,1.0
6145,control,2,Apple,101,7,0.0
6146,exposed,16,Apple,101,7,1.0
6147,control,5,Apple,174,15,0.0
6148,control,18,Apple,101,6,0.0
6149,exposed,11,Apple,101,7,0.0
6150,control,21,Samsung,156,6,1.0
6151,control,7,Samsung,162,6,1.0
6152,control,3,Apple,101,7,1.0
6153,exposed,12,Google,101,6,0.0
6154,exposed,2,Samsung,156,15,1.0
6155,exposed,4,Samsung,101,6,1.0
6156,exposed,1,Google,101,6,1.0
6157,control,15,Apple,101,15,0.0
6158,exposed,7,Samsung,101,6,0.0
6159,control,2,Apple,101,15,0.0
6160,exposed,4,Samsung,101,6,1.0
6161,exposed,7,Samsung,101,15,0.0
6162,control,21,Apple,101,15,0.0
6163,exposed,19,Motorola,162,6,1.0
6164,exposed,13,Google,101,6,1.0
6165,control,4,Apple,101,7,1.0
6166,control,5,Apple,101,15,0.0
6167,control,2,Apple,101,15,0.0
6168,control,23,Apple,178,6,0.0
6169,exposed,17,Google,101,6,0.0
6170,exposed,1,Google,101,6,1.0
6171,control,18,Apple,101,7,0.0
6172,exposed,4,Samsung,162,6,0.0
6173,exposed,20,Apple,178,7,0.0
6174,exposed,2,Samsung,101,6,1.0
6175,exposed,13,Samsung,101,15,1.0
6176,control,7,Samsung,162,6,0.0
6177,exposed,3,Samsung,101,6,1.0
6178,control,2,Apple,101,7,0.0
6179,exposed,20,Samsung,101,6,1.0
6180,exposed,3,Samsung,155,15,0.0
6181,exposed,9,Samsung,162,6,0.0
6182,exposed,17,Google,101,6,1.0
6183,exposed,12,Apple,101,15,0.0
