,experiment,hour,device_make,platform_os,browser,yes
163,exposed,23,Apple,178,7,0.0
164,exposed,3,Samsung,101,6,1.0
165,control,18,T-Mobile,162,6,0.0
166,exposed,2,Apple,101,15,1.0
167,control,2,Apple,101,7,0.0
168,exposed,3,Apple,178,7,0.0
169,exposed,14,Apple,101,15,0.0
170,control,2,Apple,101,7,1.0
171,exposed,11,Samsung,101,15,1.0
172,exposed,16,Apple,101,7,0.0
173,exposed,5,TCL,162,6,1.0
174,control,16,Samsung,139,6,0.0
175,exposed,1,Google,101,15,1.0
176,exposed,19,Google,101,6,1.0
177,exposed,7,Samsung,156,15,1.0
178,exposed,10,OnePlus,162,6,1.0
179,exposed,14,Samsung,101,6,0.0
180,exposed,18,Apple,101,7,0.0
181,exposed,16,Apple,180,7,0.0
182,exposed,3,Google,101,6,1.0
183,exposed,23,Apple,174,7,0.0
184,exposed,18,Apple,101,15,1.0
185,control,5,Apple,101,7,0.0
186,exposed,2,Samsung,156,6,0.0
187,exposed,17,Samsung,101,6,1.0
188,control,8,Apple,101,7,1.0
189,exposed,6,Google,101,6,1.0
190,exposed,3,Samsung,101,6,1.0
191,exposed,10,Apple,101,15,0.0
192,control,8,Apple,178,7,0.0
193,exposed,8,Google,101,6,0.0
194,control,9,Apple,101,7,1.0
195,exposed,3,Apple,101,15,0.0
196,exposed,4,Apple,101,7,1.0
197,exposed,23,Apple,101,7,0.0
198,exposed,12,Google,101,6,1.0
199,exposed,1,Google,101,6,1.0
200,control,12,Apple,101,6,0.0
201,exposed,19,Samsung,101,6,0.0
202,control,10,Apple,101,7,0.0
203,control,22,Apple,101,7,0.0
204,control,1,Apple,101,7,0.0
205,control,21,Google,101,6,1.0
206,exposed,4,Samsung,101,15,0.0
207,control,11,Apple,173,6,0.0
208,exposed,16,Google,101,6,1.0
209,exposed,2,Samsung,101,6,1.0
210,control,4,Apple,101,7,0.0
211,control,19,Apple,173,7,0.0
212,exposed,11,Samsung,101,6,1.0
213,exposed,4,Samsung,101,6,1.0
214,exposed,4,Google,101,6,1.0
215,exposed,16,Apple,101,15,0.0
216,exposed,5,Samsung,101,6,1.0
217,exposed,23,Apple,178,7,0.0
218,exposed,4,Samsung,101,6,1.0
219,control,5,Samsung,162,6,0.0
220,exposed,1,Google,101,6,1.0
221,control,3,Apple,101,6,0.0
222,exposed,2,Samsung,101,6,1.0
223,exposed,14,Samsung,101,6,0.0
224,control,3,Apple,144,7,0.0
225,exposed,21,Samsung,101,6,1.0
226,exposed,1,Samsung,101,15,1.0
227,exposed,4,Google,101,6,1.0
228,exposed,5,Google,101,6,1.0
229,exposed,4,Samsung,101,6,0.0
230,control,6,Apple,178,15,0.0
231,control,9,Apple,101,6,0.0
232,exposed,0,Google,101,6,1.0
233,exposed,5,Samsung,101,6,1.0
234,exposed,8,Apple,174,15,0.0
235,exposed,21,Samsung,179,15,1.0
236,control,1,Apple,171,15,0.0
237,exposed,17,Google,101,6,1.0
238,exposed,16,Samsung,101,6,1.0
239,exposed,1,Samsung,101,6,1.0
240,exposed,0,LG,156,15,0.0
241,exposed,5,Google,101,6,1.0
242,exposed,17,Samsung,101,6,0.0
243,exposed,19,Google,101,6,1.0
244,exposed,4,Samsung,162,6,1.0
245,exposed,17,Google,101,6,1.0
246,exposed,15,Samsung,101,6,1.0
247,exposed,19,Google,101,6,1.0
248,exposed,9,LG,155,15,1.0
249,exposed,7,Samsung,101,15,1.0
250,exposed,18,Apple,101,7,1.0
251,exposed,18,Apple,101,7,0.0
252,control,7,Apple,101,6,1.0
253,exposed,8,Apple,174,15,1.0
254,exposed,22,Samsung,101,6,1.0
255,exposed,14,Samsung,101,6,1.0
256,exposed,3,LG,162,6,1.0
257,exposed,5,Google,101,6,1.0
258,control,2,Apple,101,7,0.0
259,control,0,Apple,101,7,0.0
260,control,0,Apple,101,15,0.0
261,control,4,Apple,101,15,0.0
262,exposed,6,Samsung,101,6,1.0
263,exposed,0,Samsung,101,15,0.0
264,exposed,3,Samsung,101,6,0.0
265,control,20,Apple,101,6,0.0
266,control,0,Apple,178,6,0.0
267,exposed,1,Google,101,6,0.0
268,control,9,Apple,101,7,0.0
269,exposed,16,Samsung,156,6,1.0
270,exposed,18,Apple,101,7,0.0
271,control,16,Apple,178,6,1.0
272,control,20,Apple,101,6,0.0
273,exposed,9,Google,101,15,1.0
274,exposed,12,Motorola,162,6,1.0
275,control,2,Samsung,162,6,0.0
276,control,12,Apple,171,7,0.0
277,exposed,3,Samsung,101,6,1.0
278,exposed,20,Samsung,101,6,1.0
279,exposed,4,Samsung,101,6,1.0
280,exposed,15,Samsung,101,15,1.0
281,exposed,10,Google,162,6,1.0
282,exposed,1,Samsung,162,15,0.0
283,exposed,3,Samsung,162,6,1.0
284,control,9,Apple,101,7,0.0
285,control,1,Apple,101,7,0.0
286,exposed,0,Apple,177,15,0.0
287,exposed,2,Google,101,6,0.0
288,exposed,0,LG,156,15,1.0
289,control,22,Apple,101,7,1.0
290,exposed,2,Samsung,101,6,1.0
291,exposed,19,Apple,178,7,0.0
292,control,11,Apple,101,7,0.0
293,exposed,9,Motorola,155,15,1.0
